_id,INC NUMBER,OCCURRED ON,OCCURRED TO,UCR CRIME CATEGORY,100 BLOCK ADDR,ZIP,PREMISE TYPE,GRID,Latitude,Longitude
465198,202300001630322,01/01/2023  00:00,09/10/2023  00:00,LARCENY-THEFT,6XX S 19TH AVE,85007,CONSTRUCTION SITE,AJ25,33.44794532967369,-112.10018555902069
465199,202300000012194,01/01/2023  00:00,nan,LARCENY-THEFT,102XX N 32ND LN,85051,VEHICLE,CI21,33.5598834,-112.1303071
465200,202300001184679,01/01/2023  00:00,01/31/2023  23:59,RAPE,40XX E CACTUS RD,85032,UNKNOWN,DB37,33.5971556,-112.004602
465201,202300001254671,01/01/2023  00:00,nan,LARCENY-THEFT,10XX N 43RD AVE,85009,CARPORT,BC19B,33.44786450227946,-112.1518269689956
465202,202300001030551,01/01/2023  00:00,03/18/2023  00:00,RAPE,19XX E KATHLEEN RD,85022,COMMUNITY CENTER,DF31,33.62971377190944,-112.07385528543216
465203,202300001024551,01/01/2023  00:00,07/05/2023  11:43,LARCENY-THEFT,24XX W MYRTLE AVE,85021,UNKNOWN,CD23A,33.5425433320245,-112.07528933987747
465204,202300000598975,01/01/2023  00:00,02/28/2023  23:59,AGGRAVATED ASSAULT,34XX W KIMBERLY WAY,85027,SINGLE FAMILY HOUSE,DJ21,33.6576443,-112.1331642
465205,202300000879207,01/01/2023  00:00,06/08/2023  23:59,LARCENY-THEFT,74XX W MCDOWELL RD,85035,RENTAL STORAGE / FACILITY,BD11,33.465821901963885,-112.07526777267154
465206,202300000838198,01/01/2023  00:00,06/02/2023  00:00,LARCENY-THEFT,93XX W MCDOWELL RD,85037,VEHICLE,BD06,33.46566109510499,-112.0756076046009
465207,202300000002079,01/01/2023  00:00,nan,LARCENY-THEFT,10XX N 1ST DR,85003,APARTMENT,BC27B,33.4592582,-112.0753903
465208,202380000253,01/01/2023  00:00,nan,LARCENY-THEFT,13XX N 2ND ST,85004,APARTMENT,BC28A,34.3788714,-91.1324107
465209,202300000001041,01/01/2023  00:00,nan,ARSON,88XX W EARLL DR,85037,nan,BF07,33.48399194520548,-112.07430923287671
465210,202300000011927,01/01/2023  00:00,nan,LARCENY-THEFT,12XX E MOUNTAIN VIEW RD,85020,APARTMENT,CI30,33.5752093,-112.07309975000001
465211,202300000155699,01/01/2023  00:00,01/31/2023  13:07,MOTOR VEHICLE THEFT,27XX W BELL RD,85053,GAS / SERVICE STATION,DH22,33.64017453571429,-112.07438971428572
465212,202300000201010,01/01/2023  00:00,01/31/2023  00:00,LARCENY-THEFT,7XX W BELL RD,85023,PARKING LOT,DG26,33.64017489285714,-112.07432685714286
465213,202300000269353,01/01/2023  00:00,02/21/2023  00:00,LARCENY-THEFT,16XX W SHERMAN ST,85007,SINGLE FAMILY HOUSE,AJ25,33.44018129166667,-112.07440027083334
465214,202300000286279,01/01/2023  00:00,01/31/2023  23:59,LARCENY-THEFT,27XX W LINCOLN ST,85009,STREET / ROADWAY / SIDEWALK,AJ22,33.44210959183673,-112.07419257142857
465215,202300000210872,01/01/2023  00:00,02/10/2023  15:43,BURGLARY,42XX W CAMELBACK RD,85019,RENTAL STORAGE / FACILITY,BJ19,33.50937181818182,-112.07423636363636
465216,202300000615397,01/01/2023  00:00,nan,RAPE,32XX E PINCHOT AVE,85018,APARTMENT,BF35,33.4820795,-111.9695684
465217,202300000516901,01/01/2023  00:00,01/27/2023  23:59,BURGLARY,28XX E THOMAS RD,85008,RENTAL STORAGE / FACILITY,BE34,33.48033964836983,-112.07328493810238
465218,202300000525599,01/01/2023  00:00,04/08/2023  17:00,BURGLARY,49XX N 44TH ST,85018,STOREROOM/SHED (RESIDENTIAL),BI37,33.45067465644552,-111.98722590818873
465219,202300000448422,01/01/2023  00:00,nan,LARCENY-THEFT,29XX W DUNBAR DR,85041,SINGLE FAMILY HOUSE,AB22,33.3791077,-112.1223296
465220,202300000425872,01/01/2023  00:00,03/22/2023  10:52,BURGLARY,180XX N CAVE CREEK RD,85022,MOBILE HOME,DI32,33.6342741,-112.0307916
465221,202300000388317,01/01/2023  00:00,01/31/2023  00:00,MOTOR VEHICLE THEFT,3XX N 15TH AVE,85007,STREET / ROADWAY / SIDEWALK,BB25,33.6558102,-112.2964437
465222,202300000375934,01/01/2023  00:00,nan,LARCENY-THEFT,12XX N 15TH AVE,85007,UNKNOWN,BC25B,33.6558102,-112.2964437
465223,202300000308003,01/01/2023  00:00,02/28/2023  19:33,MOTOR VEHICLE THEFT,28XX E WASHINGTON ST,85034,AUTO DEALERSHIP NEW/USED,BA34,30.6163073,-92.057063
465224,202300000367418,01/01/2023  00:00,03/11/2023  17:43,LARCENY-THEFT,18XX W CAROL AVE,85021,APARTMENT,CH25,33.5722594,-112.0986573
465225,202300000337174,01/01/2023  00:00,01/31/2023  23:59,RAPE,75XX W INDIAN SCHOOL RD,85033,VEHICLE,BH10,33.4946699,-112.2192157
465226,202300000339385,01/01/2023  00:00,01/01/2023  23:59,RAPE,160XX S 46TH ST,85048,SINGLE FAMILY HOUSE,JC38,33.2962097,-111.9850199
465227,202300000195280,01/01/2023  00:00,01/06/2023  23:59,LARCENY-THEFT,3XX E VILLA THERESA DR,85022,SINGLE FAMILY HOUSE,DI28,33.65411367676768,-112.07344592929293
465228,202300000141921,01/01/2023  00:00,01/28/2023  18:21,LARCENY-THEFT,57XX N 36TH DR,85019,SINGLE FAMILY HOUSE,CA20,33.5010387,-112.136503
465229,202380006739,01/01/2023  00:00,10/19/2023  05:35,LARCENY-THEFT,220XX N 20TH AVE,85027,FENCED COMMERCIAL YARD,ED24,33.657312,-112.1012383
465230,202300001865300,01/01/2023  00:00,01/31/2023  23:59,RAPE,42XX E DESERT MARIGOLD DR,85331,SINGLE FAMILY HOUSE,FE37,33.767853,-111.9887942
465231,202300001507780,01/01/2023  00:00,10/04/2023  00:00,RAPE,19XX W ASTER DR,85029,SINGLE FAMILY HOUSE,DB24,33.25635522712947,-111.84174100334013
465232,202300000092701,01/01/2023  00:00,01/19/2023  00:00,LARCENY-THEFT,30XX S 101ST DR,85353,STREET / ROADWAY / SIDEWALK,AG04,33.4265575,-112.277272
465233,202300000171683,01/01/2023  00:00,01/03/2023  12:35,LARCENY-THEFT,47XX W MENADOTA DR,85308,SINGLE FAMILY HOUSE,EA17,33.668384,-112.1428684
465234,202300000422753,01/01/2023  00:00,03/21/2023  18:30,BURGLARY,45XX N 67TH AVE,85033,SINGLE FAMILY HOUSE,BI13,33.44799172021441,-112.20339231155678
465235,202300000380645,01/01/2023  00:00,nan,LARCENY-THEFT,40XX W KELTON LN,85053,STREET / ROADWAY / SIDEWALK,DG19,33.6365128,-112.144205
465236,202300000169925,01/01/2023  00:00,01/31/2023  23:59,LARCENY-THEFT,20XX W GARDENIA DR,85021,SINGLE FAMILY HOUSE,CD24,33.54520762244898,-112.0751972755102
465237,202300000001130,01/01/2023  00:00,nan,ROBBERY,47XX E VAN BUREN ST,85034,APARTMENT,BA38A,33.45132275510204,-112.07320734693877
465238,202300000005095,01/01/2023  00:00,nan,LARCENY-THEFT,424XX N 41ST DR,85086,HOTEL / MOTEL,GI19,33.8674581,-112.1478697
465239,202300000004926,01/01/2023  00:00,nan,LARCENY-THEFT,20XX N 75TH AVE,85035,NURSING CARE,BD10,33.44706276530612,-112.22106561224489
465240,202300000338346,01/01/2023  00:00,03/06/2023  15:23,BURGLARY,32XX E LAVEY LN,85032,STOREROOM/SHED (COMMERCIAL),DG35,33.638127,-112.0114202
465241,202300000326299,01/01/2023  00:00,03/04/2023  09:04,LARCENY-THEFT,8XX W BROADWAY RD,85041,APARTMENT,AE26,33.4066644,-112.1151321
465242,202300000002740,01/01/2023  00:00,01/01/2023  13:00,MOTOR VEHICLE THEFT,81XX W CHEERY LYNN RD,85033,STREET / ROADWAY / SIDEWALK,BF09,33.4847519,-112.231203
465243,202300000001869,01/01/2023  00:00,nan,BURGLARY,49XX S 5TH AVE,85041,SINGLE FAMILY HOUSE,AE27,33.4496903,-111.8433345
